area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,State,32,Nevada,269469.2908,0.2315,0.1771,0.6294,0.3386,0.3372,0.1344,0.2605,0.0849
Total,State,33,New Hampshire,22947.6331,0.0000,0.0000,0.8639,0.5432,0.4754,0.1986,0.3105,0.1141
Total,State,34,New Jersey,22706.6324,0.0000,0.0000,0.8628,0.7373,0.8769,0.6829,0.7843,0.5712
Total,State,35,New Mexico,274130.7806,0.1178,0.0703,0.8346,0.5291,0.5015,0.1750,0.3735,0.1092
Total,State,36,New York,135054.1715,0.0003,0.0001,0.7785,0.5160,0.6472,0.3834,0.5200,0.2972
Total,State,37,North Carolina,154752.9290,0.0000,0.0000,0.8917,0.5594,0.6544,0.3938,0.4653,0.2460
Total,State,38,North Dakota,178282.1029,0.0221,0.0156,0.9793,0.7337,0.7826,0.2843,0.5913,0.2016
Total,State,39,Ohio,116640.0492,0.0000,0.0000,0.8949,0.7516,0.8480,0.6052,0.7553,0.4953
Total,State,40,Oklahoma,165505.7973,0.0000,0.0000,0.9643,0.7815,0.7899,0.4437,0.5916,0.2612
Total,State,41,Oregon,264577.3335,0.0016,0.0006,0.6616,0.3261,0.3064,0.1614,0.2188,0.0883
Total,State,42,Pennsylvania,118072.4659,0.0142,0.0077,0.9007,0.6390,0.7189,0.4536,0.6180,0.3757
Total,State,44,Rhode Island,3928.5863,0.0000,0.0000,0.7017,0.5732,0.8933,0.6614,0.7792,0.5312
Total,State,45,South Carolina,93576.3397,0.0000,0.0000,0.9445,0.6608,0.7379,0.3728,0.5752,0.2842
Total,State,46,South Dakota,200078.2411,0.0124,0.0073,0.9520,0.6818,0.7036,0.3005,0.5452,0.2123
Total,State,47,Tennessee,113521.8912,0.0000,0.0000,0.8934,0.5552,0.5830,0.2933,0.4478,0.2174
Total,State,48,Texas,610227.1962,0.0044,0.0029,0.9125,0.5990,0.6926,0.3397,0.5594,0.2587
Total,State,49,Utah,202661.2047,0.0824,0.0492,0.8295,0.5229,0.5081,0.2108,0.4138,0.1526
Total,State,50,Vermont,23407.3041,0.0000,0.0000,0.8505,0.4774,0.3268,0.0932,0.2009,0.0516
Total,State,51,Virginia,117639.6546,0.0000,0.0000,0.8608,0.4830,0.5678,0.2757,0.4158,0.1922
Total,State,53,Washington,205089.6454,0.0383,0.0163,0.6858,0.4401,0.5194,0.2911,0.4067,0.1922
Total,State,54,West Virginia,65105.3863,0.0000,0.0000,0.6559,0.3232,0.4150,0.2096,0.2934,0.1312
Total,State,55,Wisconsin,161870.1407,0.0000,0.0000,0.8351,0.5514,0.5840,0.3697,0.3924,0.2180
Total,State,56,Wyoming,246289.7155,0.4409,0.2889,0.7768,0.5426,0.3149,0.1121,0.2148,0.0644
Total,State,60,American Samoa,1475.1817,0.0765,0.0702,0.5317,0.3794,0.2876,0.2475,0.2367,0.1764
Total,State,66,Guam,1300.9617,0.3554,0.3523,0.3677,0.3675,0.1996,0.0935,0.1738,0.0902
Total,State,69,Northern Mariana Islands,4690.1402,0.0571,0.0570,0.0523,0.0519,0.0204,0.0135,0.0192,0.0135
Total,State,72,Puerto Rico,19257.9410,0.5782,0.2557,0.6419,0.5566,0.6075,0.5251,0.4982,0.2445
Total,State,78,Virgin Islands,2577.3809,0.7845,0.7845,0.7781,0.7758,0.2196,0.1615,0.1049,0.0532
Total,County,01001,"Autauga, AL",1579.9875,0.0000,0.0000,0.9954,0.6587,0.8271,0.3187,0.5996,0.1966
Total,County,01003,"Baldwin, AL",5165.7165,0.0000,0.0000,0.9249,0.6883,0.6890,0.4264,0.5556,0.3341
Total,County,01005,"Barbour, AL",2407.0583,0.0000,0.0000,0.9513,0.5549,0.3320,0.0769,0.1886,0.0438
Total,County,01007,"Bibb, AL",1630.2311,0.0000,0.0000,0.9665,0.5325,0.4569,0.0963,0.2634,0.0524
Total,County,01009,"Blount, AL",1720.1851,0.0000,0.0000,0.9991,0.8726,0.9378,0.6208,0.6752,0.4182
Total,County,01011,"Bullock, AL",1655.6162,0.0000,0.0000,0.9915,0.4746,0.1386,0.0228,0.0697,0.0125
Total,County,01013,"Butler, AL",2025.5440,0.0000,0.0000,0.8261,0.4668,0.5199,0.2046,0.3793,0.1631
Total,County,01015,"Calhoun, AL",1635.2871,0.0000,0.0000,0.9798,0.7265,0.8385,0.5559,0.7150,0.4702
Total,County,01017,"Chambers, AL",1613.5886,0.0000,0.0000,0.9623,0.5362,0.3609,0.1011,0.2238,0.0582
Total,County,01019,"Cherokee, AL",1613.5886,0.0000,0.0000,0.9972,0.6300,0.6518,0.2498,0.4683,0.1922
Total,County,01021,"Chilton, AL",1835.5241,0.0000,0.0000,0.9788,0.6615,0.5108,0.1533,0.3204,0.0864
Total,County,01023,"Choctaw, AL",2344.0695,0.0000,0.0000,1.0000,0.9990,0.2334,0.0504,0.1221,0.0251
Total,County,01025,"Clarke, AL",3203.0560,0.0000,0.0000,0.6968,0.2771,0.2707,0.0846,0.1945,0.0671
Total,County,01027,"Clay, AL",1612.2192,0.0000,0.0000,0.9206,0.3374,0.3851,0.1149,0.2453,0.0856
Total,County,01029,"Cleburne, AL",1506.1494,0.0000,0.0000,0.8659,0.4172,0.4658,0.1543,0.3323,0.1055
Total,County,01031,"Coffee, AL",1788.4405,0.0000,0.0000,0.9822,0.5735,0.5386,0.2096,0.3433,0.1521
Total,County,01033,"Colbert, AL",1626.3338,0.0000,0.0000,0.9568,0.5676,0.6783,0.3302,0.5266,0.2268
Total,County,01035,"Conecuh, AL",2205.9785,0.0000,0.0000,0.8907,0.4381,0.3751,0.1173,0.2488,0.0859
Total,County,01037,"Coosa, AL",1757.8941,0.0000,0.0000,0.9554,0.4640,0.3163,0.0618,0.1659,0.0325
Total,County,01039,"Covington, AL",2721.2651,0.0000,0.0000,0.9610,0.5205,0.5152,0.1617,0.3479,0.1140
Total,County,01041,"Crenshaw, AL",1600.0007,0.0000,0.0000,0.8630,0.4211,0.5007,0.1869,0.3762,0.1471
Total,County,01043,"Cullman, AL",1989.3096,0.0000,0.0000,0.9980,0.9082,0.9689,0.6751,0.6117,0.3813
Total,County,01045,"Dale, AL",1488.3482,0.0000,0.0000,0.9897,0.6511,0.7194,0.3099,0.4902,0.2052
Total,County,01047,"Dallas, AL",2578.1183,0.0000,0.0000,0.9999,0.9996,0.4330,0.1075,0.2554,0.0568
Total,County,01049,"DeKalb, AL",2090.0075,0.0000,0.0000,0.9939,0.7619,0.8214,0.4042,0.6217,0.3077
Total,County,01051,"Elmore, AL",1733.5623,0.0000,0.0000,0.9968,0.7681,0.8964,0.4432,0.7559,0.3153
Total,County,01053,"Escambia, AL",2455.8272,0.0000,0.0000,0.9140,0.5786,0.5950,0.2424,0.3970,0.1529
Total,County,01055,"Etowah, AL",1463.9111,0.0000,0.0000,0.9875,0.8053,0.8420,0.5558,0.7023,0.4668
Total,County,01057,"Fayette, AL",1631.0738,0.0000,0.0000,0.9354,0.4106,0.4920,0.1525,0.3113,0.1149
Total,County,01059,"Franklin, AL",1681.7387,0.0000,0.0000,0.9619,0.5751,0.7547,0.3445,0.5189,0.2609
Total,County,01061,"Geneva, AL",1523.3186,0.0000,0.0000,0.9988,0.7346,0.6361,0.2415,0.4448,0.1658
Total,County,01063,"Greene, AL",1695.8533,0.0000,0.0000,0.9706,0.5030,0.4384,0.1468,0.3083,0.1179
Total,County,01065,"Hale, AL",1693.9573,0.0000,0.0000,0.9694,0.5480,0.5492,0.1773,0.3633,0.1174
Total,County,01067,"Henry, AL",1513.9440,0.0000,0.0000,0.9736,0.5299,0.4531,0.1302,0.2801,0.0693
Total,County,01069,"Houston, AL",1544.5958,0.0000,0.0000,0.9956,0.7945,0.8541,0.4893,0.6869,0.3625
Total,County,01071,"Jackson, AL",3023.2534,0.0000,0.0000,0.8022,0.4865,0.5062,0.2091,0.3844,0.1604
Total,County,01073,"Jefferson, AL",2947.9407,0.0000,0.0000,0.9977,0.8389,0.9355,0.6955,0.8518,0.6046
Total,County,01075,"Lamar, AL",1561.6596,0.0000,0.0000,0.9451,0.4498,0.4905,0.1580,0.3388,0.1237
Total,County,01077,"Lauderdale, AL",1885.3464,0.0000,0.0000,0.9659,0.7333,0.8428,0.5096,0.6907,0.4035
Total,County,01079,"Lawrence, AL",1881.9758,0.0000,0.0000,0.8510,0.6255,0.7359,0.4403,0.5683,0.3237
Total,County,01081,"Lee, AL",1646.5576,0.0000,0.0000,0.9959,0.7724,0.8373,0.4718,0.6631,0.3687
Total,County,01083,"Limestone, AL",1604.2140,0.0000,0.0000,0.9787,0.8082,0.9001,0.6811,0.7957,0.5629
Total,County,01085,"Lowndes, AL",1892.7197,0.0000,0.0000,0.9483,0.4876,0.3887,0.0913,0.2180,0.0465
Total,County,01087,"Macon, AL",1628.2298,0.0000,0.0000,0.9786,0.5210,0.4349,0.1093,0.2544,0.0600
Total,County,01089,"Madison, AL",2162.6869,0.0000,0.0000,0.9720,0.8165,0.8819,0.7056,0.8126,0.6098
Total,County,01091,"Marengo, AL",2522.1867,0.0000,0.0000,0.9997,0.9989,0.4098,0.1143,0.2469,0.0606
Total,County,01093,"Marion, AL",1929.1647,0.0000,0.0000,0.9620,0.5986,0.7226,0.3046,0.4987,0.2271
Total,County,01095,"Marshall, AL",1657.7229,0.0000,0.0000,0.9886,0.7573,0.8323,0.4251,0.6226,0.2898
Total,County,01097,"Mobile, AL",4161.8977,0.0000,0.0000,0.9686,0.8229,0.8038,0.5880,0.6848,0.4890
Total,County,01099,"Monroe, AL",2663.0163,0.0000,0.0000,0.7577,0.3037,0.2949,0.0940,0.1999,0.0695
Total,County,01101,"Montgomery, AL",2104.1220,0.0000,0.0000,0.9944,0.7049,0.8225,0.4626,0.6534,0.3644
Total,County,01103,"Morgan, AL",1582.1995,0.0000,0.0000,0.9870,0.7671,0.8668,0.6057,0.6993,0.4827
Total,County,01105,"Perry, AL",1876.4985,0.0000,0.0000,0.9999,0.9996,0.2170,0.0337,0.0987,0.0175
Total,County,01107,"Pickens, AL",2289.1912,0.0000,0.0000,0.9492,0.4653,0.4165,0.1205,0.2846,0.0906
Total,County,01109,"Pike, AL",1774.3260,0.0000,0.0000,0.9756,0.4956,0.5460,0.2152,0.3837,0.1649
Total,County,01111,"Randolph, AL",1564.5036,0.0000,0.0000,0.9542,0.4689,0.3704,0.1052,0.2736,0.0847
Total,County,01113,"Russell, AL",1731.8770,0.0000,0.0000,0.9985,0.6774,0.8301,0.2581,0.5454,0.1623
Total,County,01115,"St. Clair, AL",1730.9290,0.0000,0.0000,0.9970,0.7312,0.8246,0.4316,0.6638,0.3177
Total,County,01117,"Shelby, AL",2126.6632,0.0000,0.0000,0.9982,0.8009,0.9168,0.6121,0.7988,0.5056
Total,County,01119,"Sumter, AL",2334.2735,0.0000,0.0000,0.9415,0.4431,0.4427,0.1451,0.3143,0.1115
Total,County,01121,"Talladega, AL",2013.4307,0.0000,0.0000,0.9982,0.7025,0.8118,0.3891,0.6259,0.2826
Total,County,01123,"Tallapoosa, AL",2035.4452,0.0000,0.0000,0.9813,0.5977,0.4398,0.1116,0.2685,0.0556
Total,County,01125,"Tuscaloosa, AL",3503.7803,0.0000,0.0000,0.9366,0.5541,0.6323,0.3189,0.4806,0.2547
Total,County,01127,"Walker, AL",2102.1207,0.0000,0.0000,0.9938,0.7428,0.8265,0.4373,0.5811,0.3036
Total,County,01129,"Washington, AL",2763.8195,0.0000,0.0000,0.7366,0.2613,0.4222,0.1270,0.2940,0.0937
Total,County,01131,"Wilcox, AL",2342.3841,0.0000,0.0000,0.9999,0.9998,0.1593,0.0295,0.0822,0.0139
Total,County,01133,"Winston, AL",1651.9296,0.0000,0.0000,0.8938,0.5731,0.6851,0.3281,0.4226,0.2334
Total,County,02013,"Aleutians East Borough, AK",46270.1446,0.0002,0.0000,0.0077,0.0050,0.0000,0.0000,0.0000,0.0000
Total,County,02016,"Aleutians West Census Area, AK",37603.9132,0.0147,0.0123,0.0124,0.0106,0.0087,0.0068,0.0084,0.0059
Total,County,02020,"Anchorage Municipality, AK",5739.5679,0.3022,0.2340,0.5031,0.2704,0.3054,0.2021,0.1795,0.1281
Total,County,02050,"Bethel Census Area, AK",126201.2909,0.2260,0.1521,0.0104,0.0035,0.0000,0.0000,0.0000,0.0000
Total,County,02060,"Bristol Bay Borough, AK",2506.4922,0.8144,0.7307,0.4918,0.3356,0.0000,0.0000,0.0000,0.0000
Total,County,02063,"Chugach Census Area, AK",46165.0228,0.0074,0.0045,0.2638,0.1967,0.0110,0.0064,0.0084,0.0045
Total,County,02066,"Copper River Census Area, AK",75680.3479,0.0291,0.0103,0.2047,0.0857,0.0266,0.0052,0.0196,0.0042
Total,County,02068,"Denali Borough, AK",35291.1275,0.0599,0.0346,0.0826,0.0274,0.0285,0.0082,0.0163,0.0053
Total,County,02070,"Dillingham Census Area, AK",59132.5068,0.1010,0.0592,0.0371,0.0286,0.0000,0.0000,0.0000,0.0000
Total,County,02090,"Fairbanks North Star Borough, AK",20695.9403,0.2304,0.1520,0.3310,0.1405,0.1929,0.0754,0.1189,0.0569
Total,County,02100,"Haines Borough, AK",8613.8812,0.0350,0.0082,0.1435,0.0373,0.0147,0.0011,0.0128,0.0008
Total,County,02105,"Hoonah-Angoon Census Area, AK",30433.0872,0.0191,0.0095,0.2095,0.1274,0.0828,0.0352,0.0727,0.0303
Total,County,02110,"Juneau City and Borough, AK",10139.0958,0.1255,0.0995,0.1084,0.0606,0.0445,0.0266,0.0311,0.0220
Total,County,02122,"Kenai Peninsula Borough, AK",73365.2449,0.1228,0.0770,0.1683,0.0638,0.0418,0.0158,0.0240,0.0088
Total,County,02130,"Ketchikan Gateway Borough, AK",20741.1279,0.0631,0.0415,0.0711,0.0401,0.0185,0.0045,0.0127,0.0030
Total,County,02150,"Kodiak Island Borough, AK",37649.6275,0.0323,0.0249,0.0516,0.0256,0.0213,0.0146,0.0175,0.0104
Total,County,02158,"Kusilvak Census Area, AK",52158.8633,0.3068,0.2077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Total,County,02164,"Lake and Peninsula Borough, AK",101565.9151,0.0144,0.0077,0.0302,0.0199,0.0000,0.0000,0.0000,0.0000
Total,County,02170,"Matanuska-Susitna Borough, AK",72538.3848,0.0874,0.0572,0.2271,0.0748,0.0928,0.0353,0.0464,0.0239
Total,County,02180,"Nome Census Area, AK",71716.4753,0.1019,0.0563,0.0056,0.0026,0.0012,0.0011,0.0011,0.0008
Total,County,02185,"North Slope Borough, AK",237753.3590,0.0428,0.0289,0.0560,0.0301,0.0000,0.0000,0.0000,0.0000
Total,County,02188,"Northwest Arctic Borough, AK",101821.7678,0.0878,0.0634,0.0541,0.0317,0.0039,0.0021,0.0037,0.0018
Total,County,02195,"Petersburg Borough, AK",11940.1762,0.0924,0.0562,0.1618,0.0516,0.0000,0.0000,0.0000,0.0000
Total,County,02198,"Prince of Wales-Hyder Census Area, AK",34900.1332,0.0271,0.0160,0.1394,0.0464,0.0025,0.0002,0.0018,0.0001
Total,County,02220,"Sitka City and Borough, AK",15497.5707,0.1125,0.0745,0.0999,0.0472,0.0000,0.0000,0.0000,0.0000
Total,County,02230,"Skagway Municipality, AK",1385.2277,0.0076,0.0028,0.0641,0.0287,0.0297,0.0116,0.0252,0.0096
Total,County,02240,"Southeast Fairbanks Census Area, AK",72740.6232,0.0819,0.0512,0.1467,0.0463,0.0289,0.0111,0.0199,0.0090
Total,County,02275,"Wrangell City and Borough, AK",10864.6260,0.0661,0.0475,0.0662,0.0312,0.0000,0.0000,0.0000,0.0000
Total,County,02282,"Yakutat City and Borough, AK",29471.1908,0.0000,0.0000,0.0208,0.0076,0.0000,0.0000,0.0000,0.0000
Total,County,02290,"Yukon-Koyukuk Census Area, AK",396170.7004,0.0086,0.0041,0.0099,0.0021,0.0038,0.0005,0.0021,0.0005
Total,County,04001,"Apache, AZ",25459.9186,0.5683,0.4283,0.7788,0.4233,0.1144,0.0324,0.0813,0.0170
Total,County,04003,"Cochise, AZ",13705.9702,0.0000,0.0000,0.8744,0.5760,0.6326,0.3220,0.5526,0.1730
Total,County,04005,"Coconino, AZ",42697.8982,0.4417,0.2723,0.7115,0.3456,0.2440,0.0675,0.1547,0.0319
Total,County,04007,"Gila, AZ",10740.9657,0.0641,0.0300,0.5659,0.2349,0.2324,0.0493,0.1734,0.0350
Total,County,04009,"Graham, AZ",10309.8398,0.1023,0.0663,0.6114,0.2739,0.2672,0.0606,0.1500,0.0270
Total,County,04011,"Greenlee, AZ",4109.5475,0.0000,0.0000,0.4725,0.2379,0.2330,0.0426,0.1294,0.0215
Total,County,04012,"La Paz, AZ",10192.2887,0.0085,0.0007,0.8188,0.4722,0.5868,0.1866,0.4333,0.0795
Total,County,04013,"Maricopa, AZ",20676.5591,0.1301,0.0716,0.8358,0.5796,0.6501,0.3684,0.5486,0.2811
Total,County,04015,"Mohave, AZ",30950.0591,0.0035,0.0006,0.6763,0.3503,0.3974,0.1886,0.3545,0.1540
Total,County,04017,"Navajo, AZ",22621.1024,0.7042,0.5168,0.7325,0.4065,0.1530,0.0476,0.1112,0.0239
Total,County,04019,"Pima, AZ",20369.3042,0.2021,0.1017,0.7971,0.4270,0.3251,0.2039,0.2726,0.1608
Total,County,04021,"Pinal, AZ",11966.2987,0.0171,0.0050,0.9043,0.6363,0.6835,0.4011,0.6207,0.3049
Total,County,04023,"Santa Cruz, AZ",2726.1104,0.0000,0.0000,0.7943,0.4494,0.6470,0.2222,0.4904,0.1017
Total,County,04025,"Yavapai, AZ",18409.2770,0.1037,0.0638,0.7719,0.4089,0.4883,0.1636,0.3380,0.0867
Total,County,04027,"Yuma, AZ",12372.6714,0.0021,0.0000,0.6176,0.2844,0.3620,0.1452,0.2486,0.0861
Total,County,05001,"Arkansas, AR",2575.0636,0.0000,0.0000,0.8578,0.4780,0.5835,0.2535,0.4541,0.1863
Total,County,05003,"Ashley, AR",2302.8844,0.0000,0.0000,0.8830,0.3654,0.5664,0.1829,0.3329,0.1406
Total,County,05005,"Baxter, AR",1464.0164,0.0000,0.0000,0.8196,0.4310,0.5984,0.2591,0.4309,0.1930
Total,County,05007,"Benton, AR",2164.6882,0.0000,0.0000,0.9964,0.8385,0.9497,0.6998,0.8082,0.5521
Total,County,05009,"Boone, AR",1491.0869,0.0000,0.0000,0.9122,0.5946,0.6396,0.2578,0.4722,0.1679
Total,County,05011,"Bradley, AR",1592.8381,0.0000,0.0000,0.8896,0.2635,0.4448,0.1366,0.2753,0.1076
Total,County,05013,"Calhoun, AR",1540.8038,0.0000,0.0000,0.8381,0.2032,0.3615,0.0884,0.2348,0.0654
Total,County,05015,"Carroll, AR",1574.6155,0.0000,0.0000,0.9392,0.5832,0.7108,0.2796,0.5162,0.1848
Total,County,05017,"Chicot, AR",1702.9105,0.0000,0.0000,0.9764,0.7835,0.8400,0.3238,0.6437,0.2304
Total,County,05019,"Clark, AR",2141.4097,0.0000,0.0000,0.8009,0.3036,0.4276,0.1504,0.2233,0.1002
Total,County,05021,"Clay, AR",1638.7630,0.0000,0.0000,0.9957,0.6452,0.7947,0.2071,0.5499,0.1362
Total,County,05023,"Cleburne, AR",1472.6537,0.0000,0.0000,0.8974,0.6098,0.7908,0.4671,0.4480,0.2299
Total,County,05025,"Cleveland, AR",1466.0177,0.0000,0.0000,0.9207,0.2278,0.3128,0.0713,0.1963,0.0571
Total,County,05027,"Columbia, AR",1847.5321,0.0000,0.0000,0.8304,0.3007,0.4128,0.1331,0.2745,0.0972
Total,County,05029,"Conway, AR",1395.3396,0.0000,0.0000,0.9532,0.6153,0.6795,0.3067,0.4767,0.2025
Total,County,05031,"Craighead, AR",1807.7164,0.0000,0.0000,0.9998,0.8970,0.9533,0.6925,0.8060,0.5126
Total,County,05033,"Crawford, AR",1472.5484,0.0000,0.0000,0.8451,0.6118,0.7361,0.4984,0.5575,0.3838
Total,County,05035,"Crittenden, AR",1631.2844,0.0000,0.0000,0.9851,0.7890,0.9079,0.5538,0.7588,0.4027
Total,County,05037,"Cross, AR",1567.6636,0.0000,0.0000,0.9820,0.6716,0.8445,0.3552,0.5956,0.2317
Total,County,05039,"Dallas, AR",1628.4405,0.0000,0.0000,0.8558,0.2462,0.3880,0.1031,0.2491,0.0768
Total,County,05041,"Desha, AR",2011.9561,0.0000,0.0000,0.8129,0.4636,0.5592,0.2529,0.4293,0.1810
Total,County,05043,"Drew, AR",2053.6678,0.0000,0.0000,0.8816,0.3461,0.6038,0.1888,0.3088,0.1323
Total,County,05045,"Faulkner, AR",1640.2377,0.0000,0.0000,0.9936,0.7713,0.9172,0.6223,0.6756,0.4801
Total,County,05047,"Franklin, AR",1512.1534,0.0000,0.0000,0.8430,0.6068,0.7118,0.3693,0.4868,0.2463
Total,County,05049,"Fulton, AR",1559.5530,0.0000,0.0000,0.9069,0.3961,0.5756,0.2027,0.3866,0.1566
Total,County,05051,"Garland, AR",1789.9152,0.0000,0.0000,0.8682,0.5483,0.6872,0.4001,0.5306,0.3237
Total,County,05053,"Grant, AR",1550.8104,0.0000,0.0000,0.9655,0.3474,0.5606,0.1604,0.2805,0.1109
Total,County,05055,"Greene, AR",1474.5497,0.0000,0.0000,0.9996,0.8598,0.9600,0.5527,0.6793,0.4067
Total,County,05057,"Hempstead, AR",1783.5952,0.0000,0.0000,0.9830,0.4906,0.5959,0.2278,0.3705,0.1489
Total,County,05059,"Hot Spring, AR",1514.8920,0.0000,0.0000,0.9226,0.4583,0.6386,0.2329,0.3888,0.1561
Total,County,05061,"Howard, AR",1433.7860,0.0000,0.0000,0.9331,0.3974,0.4846,0.1538,0.2733,0.1070
Total,County,05063,"Independence, AR",1932.4300,0.0000,0.0000,0.9450,0.5523,0.7437,0.3064,0.4644,0.1968
Total,County,05065,"Izard, AR",1461.9098,0.0000,0.0000,0.8716,0.3616,0.4779,0.1683,0.3539,0.1357
Total,County,05067,"Jackson, AR",1611.6926,0.0000,0.0000,0.9873,0.7156,0.9052,0.4173,0.6429,0.2665
Total,County,05069,"Jefferson, AR",2256.6435,0.0000,0.0000,0.9890,0.5971,0.8103,0.4192,0.6117,0.3232
Total,County,05071,"Johnson, AR",1675.9454,0.0000,0.0000,0.6325,0.4060,0.5118,0.3104,0.3927,0.2044
Total,County,05073,"Lafayette, AR",1311.1790,0.0000,0.0000,0.9120,0.2846,0.5680,0.1464,0.3567,0.1006
Total,County,05075,"Lawrence, AR",1496.1428,0.0000,0.0000,0.9454,0.6062,0.7447,0.3386,0.4900,0.1899
Total,County,05077,"Lee, AR",1559.7637,0.0000,0.0000,0.9310,0.5633,0.6669,0.2437,0.3591,0.1312
Total,County,05079,"Lincoln, AR",1403.6609,0.0000,0.0000,0.9343,0.5241,0.6715,0.2478,0.4360,0.1796
Total,County,05081,"Little River, AR",1347.4133,0.0000,0.0000,0.9290,0.3493,0.6388,0.1857,0.3232,0.1353
Total,County,05083,"Logan, AR",1777.6966,0.0000,0.0000,0.9259,0.5355,0.7604,0.3570,0.5070,0.2430
Total,County,05085,"Lonoke, AR",1987.7296,0.0000,0.0000,0.9939,0.8318,0.9137,0.6373,0.7201,0.5001
Total,County,05087,"Madison, AR",2054.4051,0.0000,0.0000,0.6528,0.3404,0.4820,0.2145,0.3365,0.1457
Total,County,05089,"Marion, AR",1591.8901,0.0000,0.0000,0.8270,0.4465,0.6091,0.2676,0.3856,0.1753
Total,County,05091,"Miller, AR",1527.1106,0.0000,0.0000,0.9589,0.4724,0.7850,0.3599,0.5998,0.2565
Total,County,05093,"Mississippi, AR",2374.9319,0.0000,0.0000,0.9852,0.8064,0.8678,0.5293,0.7620,0.3294
Total,County,05095,"Monroe, AR",1549.0197,0.0000,0.0000,0.9076,0.5327,0.6464,0.3177,0.4815,0.2294
